time,w1,w2,wb,acc
0,-0.851241,-1.668298,0.734648,0.630000
1,0.828759,-2.428298,0.754648,0.836000
2,0.828759,-2.428298,0.754648,0.836000
3,0.828759,-2.428298,0.754648,0.836000
4,0.828759,-2.428298,0.754648,0.836000
5,0.828759,-2.428298,0.754648,0.836000
6,0.828759,-2.428298,0.754648,0.836000
7,1.368759,-1.968298,0.774648,0.921000
8,1.368759,-1.968298,0.774648,0.921000
9,1.368759,-1.968298,0.774648,0.921000
10,1.368759,-1.968298,0.774648,0.921000
11,1.368759,-1.968298,0.774648,0.921000
12,3.308759,-0.528298,0.794648,0.780000
13,3.308759,-0.528298,0.794648,0.780000
14,3.308759,-0.528298,0.794648,0.780000
15,3.308759,-0.528298,0.794648,0.780000
16,2.068759,-2.428298,0.814648,0.962000
17,3.868759,-0.888298,0.834648,0.790000
18,3.868759,-0.888298,0.834648,0.790000
19,3.868759,-0.888298,0.834648,0.790000
20,3.868759,-0.888298,0.834648,0.790000
21,3.868759,-0.888298,0.834648,0.790000
22,3.868759,-0.888298,0.834648,0.790000
23,3.168759,-1.968298,0.854648,0.889000
24,3.168759,-1.968298,0.854648,0.889000
25,3.168759,-1.968298,0.854648,0.889000
26,3.168759,-1.968298,0.854648,0.889000
27,3.168759,-1.968298,0.854648,0.889000
28,3.168759,-1.968298,0.854648,0.889000
29,3.168759,-1.968298,0.854648,0.889000
30,3.168759,-1.968298,0.854648,0.889000
31,3.168759,-1.968298,0.854648,0.889000
32,3.168759,-1.968298,0.854648,0.889000
33,3.168759,-1.968298,0.854648,0.889000
34,3.168759,-1.968298,0.854648,0.889000
35,3.168759,-1.968298,0.854648,0.889000
36,2.568759,-2.828298,0.874648,0.976000
37,2.568759,-2.828298,0.874648,0.976000
38,2.568759,-2.828298,0.874648,0.976000
39,2.568759,-2.828298,0.874648,0.976000
40,2.568759,-2.828298,0.874648,0.976000
41,2.568759,-2.828298,0.874648,0.976000
42,2.568759,-2.828298,0.874648,0.976000
43,2.568759,-2.828298,0.874648,0.976000
44,2.568759,-2.828298,0.874648,0.976000
45,2.568759,-2.828298,0.874648,0.976000
46,2.568759,-2.828298,0.874648,0.976000
47,2.568759,-2.828298,0.874648,0.976000
48,2.568759,-2.828298,0.874648,0.976000
49,2.568759,-2.828298,0.874648,0.976000
50,2.568759,-2.828298,0.874648,0.976000
51,2.568759,-2.828298,0.874648,0.976000
52,2.568759,-2.828298,0.874648,0.976000
53,2.568759,-2.828298,0.874648,0.976000
54,2.568759,-2.828298,0.874648,0.976000
55,2.568759,-2.828298,0.874648,0.976000
56,2.568759,-2.828298,0.874648,0.976000
57,2.568759,-2.828298,0.874648,0.976000
58,2.568759,-2.828298,0.874648,0.976000
59,2.568759,-2.828298,0.874648,0.976000
60,2.568759,-2.828298,0.874648,0.976000
61,2.568759,-2.828298,0.874648,0.976000
62,2.568759,-2.828298,0.874648,0.976000
63,2.568759,-2.828298,0.874648,0.976000
64,2.568759,-2.828298,0.874648,0.976000
65,2.568759,-2.828298,0.874648,0.976000
66,2.568759,-2.828298,0.874648,0.976000
67,2.568759,-2.828298,0.874648,0.976000
68,2.568759,-2.828298,0.874648,0.976000
69,2.568759,-2.828298,0.874648,0.976000
70,2.568759,-2.828298,0.874648,0.976000
71,2.568759,-2.828298,0.874648,0.976000
72,2.568759,-2.828298,0.874648,0.976000
73,2.568759,-2.828298,0.874648,0.976000
74,2.568759,-2.828298,0.874648,0.976000
75,2.568759,-2.828298,0.874648,0.976000
76,2.568759,-2.828298,0.874648,0.976000
77,2.568759,-2.828298,0.874648,0.976000
78,2.568759,-2.828298,0.874648,0.976000
79,2.568759,-2.828298,0.874648,0.976000
80,2.568759,-2.828298,0.874648,0.976000
81,2.568759,-2.828298,0.874648,0.976000
82,2.568759,-2.828298,0.874648,0.976000
83,2.568759,-2.828298,0.874648,0.976000
84,2.568759,-2.828298,0.874648,0.976000
85,2.568759,-2.828298,0.874648,0.976000
86,2.568759,-2.828298,0.874648,0.976000
87,2.568759,-2.828298,0.874648,0.976000
88,2.568759,-2.828298,0.874648,0.976000
89,2.568759,-2.828298,0.874648,0.976000
90,2.568759,-2.828298,0.874648,0.976000
91,2.568759,-2.828298,0.874648,0.976000
92,2.568759,-2.828298,0.874648,0.976000
93,2.568759,-2.828298,0.874648,0.976000
94,2.568759,-2.828298,0.874648,0.976000
95,2.568759,-2.828298,0.874648,0.976000
96,2.568759,-2.828298,0.874648,0.976000
97,2.568759,-2.828298,0.874648,0.976000
98,2.568759,-2.828298,0.874648,0.976000
99,2.568759,-2.828298,0.874648,0.976000
100,2.568759,-2.828298,0.874648,0.976000
101,2.568759,-2.828298,0.874648,0.976000
102,4.288759,-1.188298,0.894648,0.807000
103,4.288759,-1.188298,0.894648,0.807000
104,3.568759,-2.048298,0.914648,0.879000
105,3.568759,-2.048298,0.914648,0.879000
106,3.568759,-2.048298,0.914648,0.879000
107,3.568759,-2.048298,0.914648,0.879000
108,3.568759,-2.048298,0.914648,0.879000
109,3.568759,-2.048298,0.914648,0.879000
110,3.568759,-2.048298,0.914648,0.879000
111,3.568759,-2.048298,0.914648,0.879000
112,3.568759,-2.048298,0.914648,0.879000
113,3.568759,-2.048298,0.914648,0.879000
114,3.568759,-2.048298,0.914648,0.879000
115,3.568759,-2.048298,0.914648,0.879000
116,3.568759,-2.048298,0.914648,0.879000
117,3.568759,-2.048298,0.914648,0.879000
118,3.568759,-2.048298,0.914648,0.879000
119,3.568759,-2.048298,0.914648,0.879000
120,3.568759,-2.048298,0.914648,0.879000
121,3.568759,-2.048298,0.914648,0.879000
122,3.568759,-2.048298,0.914648,0.879000
123,3.568759,-2.048298,0.914648,0.879000
124,3.568759,-2.048298,0.914648,0.879000
125,3.568759,-2.048298,0.914648,0.879000
126,3.568759,-2.048298,0.914648,0.879000
127,3.568759,-2.048298,0.914648,0.879000
128,3.568759,-2.048298,0.914648,0.879000
129,3.568759,-2.048298,0.914648,0.879000
130,3.568759,-2.048298,0.914648,0.879000
131,2.828759,-3.148298,0.934648,0.974000
132,2.828759,-3.148298,0.934648,0.974000
133,2.828759,-3.148298,0.934648,0.974000
134,2.828759,-3.148298,0.934648,0.974000
135,2.828759,-3.148298,0.934648,0.974000
136,2.828759,-3.148298,0.934648,0.974000
137,4.208759,-1.868298,0.954648,0.838000
138,2.508759,-3.688298,0.974648,0.920000
139,2.508759,-3.688298,0.974648,0.920000
140,2.508759,-3.688298,0.974648,0.920000
141,2.508759,-3.688298,0.974648,0.920000
142,2.508759,-3.688298,0.974648,0.920000
